zone_type_id	code	name	block_id	
1	330000527	A.Poruvai	245	
1	330000528	A.Poruvai	245	
1	330000529	A.PUDHUPATTI	349	
1	330000530	A.Pudupatti	245	
1	330000531	A.Pudupatti	245	
1	330000532	A.Pudupatti	245	
1	330000533	A.Pudupatti	245	
1	330000534	A.Pudupatti	245	
1	330000535	A.Pudupatti	245	
1	330000536	A.Pudupatti	245	
1	330000537	A.Pudupatti	245	
1	330000538	A.Pudupatti	245	
1	330000539	A.Pudupatti	245	
1	330000540	A.PUDUPATTI	285	
1	330000541	A.PUDUPATTI	285	
1	330000542	A.PUDUR	135	
1	330000543	A.PUDUR	135	
1	330000544	A.PUDUR	135	
1	330000545	A.PUDUR	135	
1	330000546	A.PUDUR	135	
1	330000547	A.PUDUR	135	
1	330000548	A.PUDUR	135	
1	330000549	A.PUDUR	356	
1	330000550	A.PUNAVASAL	329	
1	330000551	A.PUNAVASAL	329	
1	330000552	A.PUNAVASAL	329	
1	330000553	A.PUTHUR	328	
1	330000554	A.PUTHUR	328	
1	330000555	A.PUTHUR	328	
1	330000556	A.PUTHUR	57	
1	330000557	A.Ramalingapuram	342	
1	330000558	A.REDDYPALAYAM	20	
1	330000559	A.REDDYPALAYAM	20	
1	330000560	A.REDDYPALAYAM	20	
1	330000561	A.SATANKULAM	373	
1	330000562	A.SATANKULAM	373	
1	330000563	A.SATANKULAM	373	
1	330000564	A.SATANKULAM	373	
1	330000565	A.SATANKULAM	373	
1	330000566	A.SATANKULAM	373	
1	330000567	A.SATANKULAM	373	
1	330000568	A.SATHANUR	57	
1	330000569	A.SETTIPALLI	424	
1	330000570	A.SETTIPALLI	424	
1	330000571	A.Subramaniapuram	394	
1	330000572	A.Subramaniapuram	394	
1	330000573	A.THALAIYUR	135	
1	330000574	A.THALAIYUR	135	
1	330000575	A.THALAIYUR	135	
1	330000576	A.THALAIYUR	135	
1	330000577	A.THALAIYUR	135	
1	330000578	A.Tharaikudi	330	
1	330000579	A.THULUKKAPATTI	343	
1	330000580	A.UDAYAPATTY	265	
1	330000581	A.USILANGULAM	329	
1	330000582	A.USILANGULAM	329	
1	330000583	A.USILANGULAM	329	
1	330000584	A.Vadipatti	307	
1	330000585	A.Vadipatti	307	
1	330000586	A.Vadipatti	307	
1	330000587	A.Vadipatti	307	
1	330000588	A.Vadipatti	307	
1	330000589	A.Vadipatti	307	
1	330000590	A.Vadipatti	307	
1	330000591	A.Vadipatti	307	
1	330000592	A.Vadipatti	307	
1	330000593	A.VALAYAPATTI	291	
1	330000594	A.VALLIYAM	32	
1	330000595	A.VELLODU	319	
1	330000596	A.VELLODU	319	
1	330000597	A.VELLODU	319	
1	330000598	A.VELLODU	319	
1	330000599	A.VELLODU	319	
1	330000600	A.VELLODU	319	
1	330000601	A.VELLODU	319	
1	330000602	A.VENKATAPURAM	263	
1	330000603	AAGAPURAMPUDUR	126	
1	330000604	AAGAPURAMPUDUR	126	
1	330000605	AALAMPOONDI	44	
1	330000606	AALAMPOONDI	44	
1	330000607	AALATHUR	48	
1	330000608	AANAIKUPPAM	233	
1	330000609	AANAIKUPPAM	233	
1	330000610	AANDIPALAYAM	159	
1	330000611	AARIYALUR	239	
1	330000612	AARIYALUR	239	
1	330000613	AARIYALUR	239	
1	330000614	AARIYUR	45	
1	330000615	AATHANUR	238	
